Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Fevereiro;4
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Março;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Junho;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Agosto;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Setembro;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Outubro;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Novembro;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;2023;Dezembro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Fevereiro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Março;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Abril;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Maio;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Junho;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Julho;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Agosto;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Setembro;6
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Outubro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Novembro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;2023;Dezembro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Janeiro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Fevereiro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Março;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Abril;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Maio;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Junho;2
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Julho;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Agosto;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Setembro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Outubro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Novembro;0
Uberlândia;Coordenação do Curso Técnico em Controle Ambiental;2023;Dezembro;0
Uberlândia;Coordenação do Curso Técnico em Meio Ambiente;2023;Janeiro;0
